year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,party.pct
2000,ALABAMA,AL,TUSCALOOSA,1125,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,34003,60114,20191203,TOTAL,56.56419469674285
2000,ALABAMA,AL,WALKER,1127,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13486,25641,20191203,TOTAL,52.5954525954526
2000,ALABAMA,AL,WILCOX,1131,PRESIDENT,AL GORE,DEMOCRAT,3444,5126,20191203,TOTAL,67.18689036285603
2000,ALABAMA,AL,WINSTON,1133,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6413,9318,20191203,TOTAL,68.82378192745225
2000,ARIZONA,AZ,APACHE,4001,PRESIDENT,AL GORE,DEMOCRAT,13025,19456,20191203,TOTAL,66.94592927631578
2000,ARIZONA,AZ,COCHISE,4003,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,18180,33241,20191203,TOTAL,54.691495442375384
2000,ARIZONA,AZ,COCONINO,4005,PRESIDENT,AL GORE,DEMOCRAT,20280,40883,20191203,TOTAL,49.604970281045915
2000,ARIZONA,AZ,GILA,4007,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9158,17736,20191203,TOTAL,51.63509246729815
2000,ARIZONA,AZ,GRAHAM,4009,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6007,9664,20191203,TOTAL,62.15852649006622
2000,ARIZONA,AZ,GREENLEE,4011,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1619,2960,20191203,TOTAL,54.695945945945944
2000,ARIZONA,AZ,LA PAZ,4012,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2543,4483,20191203,TOTAL,56.7254070934642
2000,ARIZONA,AZ,MARICOPA,4013,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,479967,901699,20191203,TOTAL,53.22918180013508
2000,ARIZONA,AZ,MOHAVE,4015,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,24386,44141,20191203,TOTAL,55.24568994812079
2000,ARIZONA,AZ,NAVAJO,4017,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12386,25147,20191203,TOTAL,49.2543842207818
2000,ARIZONA,AZ,PIMA,4019,PRESIDENT,AL GORE,DEMOCRAT,147688,287640,20191203,TOTAL,51.34473647615074
2000,ARIZONA,AZ,PINAL,4021,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20122,41290,20191203,TOTAL,48.73334947929281
2000,ARIZONA,AZ,YAVAPAI,4025,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,40144,68228,20191203,TOTAL,58.83801371870786
2000,ARIZONA,AZ,YUMA,4027,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15708,28652,20191203,TOTAL,54.8233980175904
2000,ARKANSAS,AR,ARKANSAS,5001,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3353,6372,20191203,TOTAL,52.62084118016321
2000,ARKANSAS,AR,ASHLEY,5003,PRESIDENT,AL GORE,DEMOCRAT,4253,8271,20191203,TOTAL,51.42062628460887
2000,ARKANSAS,AR,BAXTER,5005,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9538,16708,20191203,TOTAL,57.086425664352404
2000,ARKANSAS,AR,CHICOT,5017,PRESIDENT,AL GORE,DEMOCRAT,2820,4452,20191203,TOTAL,63.342318059299195
2000,ARKANSAS,AR,CLEBURNE,5023,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5730,10207,20191203,TOTAL,56.137944547859306
2000,ARKANSAS,AR,CONWAY,5029,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3545,7234,20191203,TOTAL,49.00470002764722
2000,ARKANSAS,AR,CRAIGHEAD,5031,PRESIDENT,AL GORE,DEMOCRAT,12376,25157,20191203,TOTAL,49.19505505425925
2000,ARKANSAS,AR,CRITTENDEN,5035,PRESIDENT,AL GORE,DEMOCRAT,7224,13234,20191203,TOTAL,54.58667069669034
2000,ARKANSAS,AR,CROSS,5037,PRESIDENT,AL GORE,DEMOCRAT,3096,6215,20191203,TOTAL,49.81496379726468
2000,ARKANSAS,AR,DESHA,5041,PRESIDENT,AL GORE,DEMOCRAT,2776,4495,20191203,TOTAL,61.7575083426029
2000,ARKANSAS,AR,DREW,5043,PRESIDENT,AL GORE,DEMOCRAT,3060,5922,20191203,TOTAL,51.671732522796354
2000,ARKANSAS,AR,FAULKNER,5045,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16055,29216,20191203,TOTAL,54.95276560788609
